,Symbol,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
55,XYL,Toussaint Claudia S,"SVP,CSO,Gen Counsel & Corp Sec","Jun 16, 2021",$116.59,5953,694056,53109,"Jun 17, 2021, 04:01 PM",sell
56,LMNR,PALAMOUNTAIN MARK,"CFO, Treasurer & Secretary","Jun 16, 2021",$18.77,650,12202,59687,"Jun 17, 2021, 04:01 PM",sell
57,EGAN,SMIT ERIC,Chief Financial Officer,"Jun 15, 2021",$10.70,5000,53520,131187,"Jun 17, 2021, 04:01 PM",sell
58,SQFT,KATZ GARY MORRIS,"SVP, Asset Management","Jun 16, 2021",$4.08,6000,24477,77747,"Jun 17, 2021, 03:42 PM",sell
59,CMXC,HARGREAVES BRADLEY S,VP Technology & Operations,"Jun 15, 2021",$0.28,5000,1400,5638252,"Jun 17, 2021, 03:40 PM",sell
60,CMXC,HARGREAVES BRADLEY S,VP Technology & Operations,"Jun 16, 2021",$0.29,5000,1450,5633252,"Jun 17, 2021, 03:40 PM",sell
61,PD,Justice Dave,Chief Revenue Officer,"Jun 16, 2021",$40.72,1748,71186,305667,"Jun 17, 2021, 03:18 PM",sell
62,PD,Justice Dave,Chief Revenue Officer,"Jun 15, 2021",$40.85,1748,71401,306593,"Jun 17, 2021, 03:18 PM",sell
63,MRVL,Meintjes Willem A,"SVP, Chief Accounting Officer","Jun 15, 2021",$53.51,10000,535100,34136,"Jun 17, 2021, 03:05 PM",sell
64,SEDG,GANI MARCEL,Director,"Jun 15, 2021",$236.67,334,79047,27717,"Jun 17, 2021, 02:59 PM",sell
65,SEDG,GANI MARCEL,Director,"Jun 16, 2021",$248.07,333,82609,27250,"Jun 17, 2021, 02:59 PM",sell
66,CPSI,Fowler Christopher L,COO and President (TruBridge),"Jun 15, 2021",$33.84,1000,33840,52838,"Jun 17, 2021, 02:52 PM",sell
67,MRVL,MURPHY MATTHEW J,CEO and President,"Jun 15, 2021",$53.57,20000,1071400,227900,"Jun 17, 2021, 02:43 PM",sell
68,ORCC,REGENTS OF THE UNIVERSITY OF CALIFORNIA,10% Owner,"Jun 16, 2021",$14.91,124437,1855978,39139093,"Jun 17, 2021, 02:38 PM",sell
69,NTGR,MERRILL MARK G,CTO,"Jun 15, 2021",$40.84,5500,224645,47283,"Jun 17, 2021, 02:20 PM",sell
70,FFIV,Pelzer Francis J.,"EVP, Chief Financial Officer","Jun 15, 2021",$191.90,500,95950,12972,"Jun 17, 2021, 02:18 PM",sell
71,FFIV,Locoh-Donou Francois,"President, CEO & Director","Jun 15, 2021",$191.90,1300,249470,75221,"Jun 17, 2021, 02:17 PM",sell
72,CLNE,TOTAL MARKETING SERVICES S.A.S.,10% Owner,"Jun 15, 2021",$11.17,750000,8377800,42581801,"Jun 17, 2021, 02:04 PM",sell
73,RKFL,Funk Gert,Chairman,"Sep 08, 2020",$1.00,115000,115000,4985394,"Jun 17, 2021, 01:55 PM",sell
74,ALTR,Chouinard Brett R,See Remarks,"Jun 16, 2021",$64.07,4896,313703,15118,"Jun 17, 2021, 01:36 PM",sell
75,TFSL,MULLIGAN WILLIAM C,Director,"Jun 15, 2021",$21.06,2000,42120,48700,"Jun 17, 2021, 01:30 PM",sell
76,PNC,Fallon Kieran John,Executive Vice President,"Jun 16, 2021",$188.36,125,23545,8543,"Jun 17, 2021, 01:29 PM",sell
77,MLAB,Schmieder John Bradley,Director,"Jun 16, 2021",$262.27,505,132446,71507,"Jun 17, 2021, 01:01 PM",sell
78,CERT,Edge Justin,"PRES., REGULATORY & ACCESS","Jun 16, 2021",$27.01,5000,135075,447090,"Jun 17, 2021, 12:59 PM",sell
79,MLAB,Sakys John,CFO,"Jun 16, 2021",$255.67,2119,541765,7514,"Jun 17, 2021, 12:50 PM",sell
80,RXT,Windham Holly B.,"EVP, Chief Legal & People Off","Jun 16, 2021",$20.19,10000,201926,165666,"Jun 17, 2021, 12:45 PM",sell
81,APT,Millar Donna,Director,"Jun 15, 2021",$8.02,16800,134736,1268553,"Jun 17, 2021, 12:32 PM",sell
82,MLAB,Owens Gary M,President and CEO,"Jun 16, 2021",$255.67,6545,1673360,18396,"Jun 17, 2021, 12:25 PM",sell
83,MLAB,DINOIA GREGORY,SVP Commericial,"Jun 16, 2021",$255.67,1211,309616,2973,"Jun 17, 2021, 12:16 PM",sell
84,A,Grau Dominique,Senior Vice President,"Jun 16, 2021",$145.01,3487,505653,81420,"Jun 17, 2021, 12:16 PM",sell
85,A,Grau Dominique,Senior Vice President,"Jun 15, 2021",$145.03,3578,518917,81420,"Jun 17, 2021, 12:16 PM",sell
86,A,Ancher-Jensen Henrik,Sr Vice President,"Jun 14, 2021",$143.66,43731,6282526,76902,"Jun 17, 2021, 12:13 PM",sell
87,MLAB,Archbold Brian David,SVP Continuous Improvement,"Jun 16, 2021",$257.06,1336,343430,1608,"Jun 17, 2021, 12:06 PM",sell
88,SQFT,Bruen David,Director,"Jun 16, 2021",$4.11,2000,8225,35018,"Jun 17, 2021, 11:46 AM",sell
89,SKX,GREENBERG JEFFREY,Director,"Jun 15, 2021",$48.85,10000,488491,831611,"Jun 17, 2021, 11:39 AM",sell
90,SKX,GREENBERG JEFFREY,Director,"Jun 16, 2021",$49.25,11150,549138,135054,"Jun 17, 2021, 11:39 AM",sell
91,SKX,GREENBERG JEFFREY,Director,"Jun 16, 2021",$49.25,10983,540913,115793,"Jun 17, 2021, 11:39 AM",sell
92,SKX,GREENBERG JEFFREY,Director,"Jun 16, 2021",$49.25,23212,1143191,808399,"Jun 17, 2021, 11:39 AM",sell
93,GOOG,Pichai Sundar,Chief Executive Officer,"Jun 16, 2021",$2515.71,3000,7547145,103161,"Jun 17, 2021, 11:20 AM",sell
94,BKE,MOLCZYK KELLI D,VP WOMEN'S MERCHANDISING,"Jun 16, 2021",$42.04,2500,105112,53163,"Jun 17, 2021, 11:12 AM",sell
95,QURE,Kuta Alexander Edward III,"Executive VP, Operations","Jun 15, 2021",$35.43,6000,212580,68871,"Jun 17, 2021, 11:00 AM",sell
96,MSEX,Sohler Bernadette M,VP-Corporate Affairs,"Jun 16, 2021",$86.50,1000,86500,0,"Jun 17, 2021, 10:27 AM",sell
97,MAXR,Lee James CI,"SVP, General Counsel & Secty","Jun 16, 2021",$40.00,15789,631560,67433,"Jun 17, 2021, 09:05 AM",sell
98,IIVI,MATTERA VINCENT D JR,Chief Executive Officer,"Jun 16, 2021",$69.20,8500,588175,373088,"Jun 17, 2021, 08:50 AM",sell
99,SAM,KOCH C JAMES,Chairman,"Jun 16, 2021",$1003.34,2500,2508357,99694,"Jun 17, 2021, 08:39 AM",sell
100,CELH,Li Ka Shing,10% Owner,"Jun 14, 2021",$62.50,2410878,150679875,6655136,"Jun 17, 2021, 06:03 AM",sell
1,BPSR,Shapiro George Craig,Chief Medical Officer,"Jun 15, 2021",$0.16,50000,8000,80675596,"Jun 16, 2021, 09:50 PM",sell
2,BPSR,Shapiro George Craig,Chief Medical Officer,"Jun 14, 2021",$0.14,32000,4480,80725596,"Jun 16, 2021, 09:50 PM",sell
3,BPSR,Shapiro George Craig,Chief Medical Officer,"Jun 16, 2021",$0.15,61454,9339,80635221,"Jun 16, 2021, 09:50 PM",sell
4,BPSR,MITRANI MARIA INES,Chief Science Officer,"Jun 15, 2021",$0.16,50000,8000,116807890,"Jun 16, 2021, 09:48 PM",sell
5,BPSR,MITRANI MARIA INES,Chief Science Officer,"Jun 14, 2021",$0.14,50000,7000,116857890,"Jun 16, 2021, 09:48 PM",sell
6,BPSR,MITRANI MARIA INES,Chief Science Officer,"Jun 16, 2021",$0.16,50000,8050,116757890,"Jun 16, 2021, 09:48 PM",sell
7,REPL,Love Colin,Chief Operating Officer,"Jun 15, 2021",$34.10,30000,1022906,878009,"Jun 16, 2021, 09:47 PM",sell
8,BPSR,BOTHWELL IAN T,Chief Financial Officer,"Jun 15, 2021",$0.16,50000,8000,148158726,"Jun 16, 2021, 09:47 PM",sell
9,BPSR,BOTHWELL IAN T,Chief Financial Officer,"Jun 14, 2021",$0.14,50000,7000,148208726,"Jun 16, 2021, 09:47 PM",sell
10,BPSR,BOTHWELL IAN T,Chief Financial Officer,"Jun 16, 2021",$0.15,90000,13890,148108726,"Jun 16, 2021, 09:47 PM",sell
11,DLR,Mercier Matt,"SVP, FINANCE AND ACCOUNTING","Jun 14, 2021",$162.25,205,33261,0,"Jun 16, 2021, 09:42 PM",sell
12,HGEN,Durrant Cameron,Chief Executive Officer,"Jun 14, 2021",$20.64,81441,1680934,85000,"Jun 16, 2021, 09:40 PM",sell
13,STKS,Segal Jonathan,"Director, Business Development","Jun 16, 2021",$11.42,9303,106197,4167989,"Jun 16, 2021, 09:39 PM",sell
14,FLEX,OFFER DAVID SCOTT,"EVP, General Counsel","Jun 14, 2021",$18.26,11449,209107,216053,"Jun 16, 2021, 09:34 PM",sell
15,FLEX,Hartung Michael P,"President, Agility Solutions","Jun 15, 2021",$18.05,5440,98214,132276,"Jun 16, 2021, 09:33 PM",sell
16,FLEX,Bennett David P,Chief Accounting Officer,"Jun 14, 2021",$18.26,55778,1018647,167985,"Jun 16, 2021, 09:31 PM",sell
17,FLEX,Barbier Francois,Group President,"Jun 14, 2021",$18.27,19906,363645,483714,"Jun 16, 2021, 09:30 PM",sell
18,FLEX,Advaithi Revathi,Chief Executive Officer,"Jun 14, 2021",$18.26,49065,896074,993242,"Jun 16, 2021, 09:29 PM",sell
19,ATLC,Howard Jeffrey A.,President & CEO,"Jun 14, 2021",$40.07,4975,199348,430571,"Jun 16, 2021, 09:00 PM",sell
20,FB,Zuckerberg Mark,COB and CEO,"Jun 14, 2021",$334.46,6300,2107120,5980,"Jun 16, 2021, 08:55 PM",sell
21,FB,Zuckerberg Mark,COB and CEO,"Jun 14, 2021",$334.47,15000,5017065,2065096,"Jun 16, 2021, 08:55 PM",sell
22,FB,Zuckerberg Mark,COB and CEO,"Jun 14, 2021",$334.56,56000,18735129,53696,"Jun 16, 2021, 08:55 PM",sell
23,SUM,LANCE HOWARD L,Director,"Jun 14, 2021",$34.30,82500,2829750,93994,"Jun 16, 2021, 08:38 PM",sell
24,SUM,LANCE HOWARD L,Director,"Jun 16, 2021",$34.33,90000,3089700,3994,"Jun 16, 2021, 08:38 PM",sell
25,SUM,LANCE HOWARD L,Director,"Jun 15, 2021",$34.53,82500,2848725,93994,"Jun 16, 2021, 08:38 PM",sell
26,ZIP,SIEGEL IAN H.,Chief Executive Officer,"Jun 14, 2021",$21.28,10000,212800,25626,"Jun 16, 2021, 08:37 PM",sell
27,DKNG,Meckenzie Shalom,Director,"Jun 14, 2021",$51.56,660000,34027127,21528079,"Jun 16, 2021, 08:36 PM",sell
28,BLFS,Berard Todd,Chief Marketing Officer,"Jun 16, 2021",$39.26,6160,241842,79566,"Jun 16, 2021, 08:30 PM",sell
29,BLFS,Berard Todd,Chief Marketing Officer,"Jun 15, 2021",$39.38,6160,242581,79566,"Jun 16, 2021, 08:30 PM",sell
30,BLFS,Mathew Aby J.,Exec VP & Chief Scientific Off,"Jun 16, 2021",$39.27,10000,392700,210304,"Jun 16, 2021, 08:30 PM",sell
31,BLFS,Mathew Aby J.,Exec VP & Chief Scientific Off,"Jun 14, 2021",$38.90,10000,389000,210304,"Jun 16, 2021, 08:30 PM",sell
32,MDLA,Oulman Roxanne,CFO and EVP,"Jun 15, 2021",$31.52,6680,210560,499918,"Jun 16, 2021, 08:22 PM",sell
33,RNA,LEVIN ARTHUR A,Chief Scientific Officer,"Jun 15, 2021",$26.02,23019,599067,0,"Jun 16, 2021, 08:21 PM",sell
34,RNA,LEVIN ARTHUR A,Chief Scientific Officer,"Jun 14, 2021",$25.92,14003,362921,23019,"Jun 16, 2021, 08:21 PM",sell
35,AGYS,Badger Kyle C,"SVP, GC and Secretary","Jun 14, 2021",$56.62,2930,165897,106427,"Jun 16, 2021, 08:17 PM",sell
36,AGYS,SRINIVASAN RAMESH,President & CEO,"Jun 15, 2021",$54.32,38730,2103814,642906,"Jun 16, 2021, 08:16 PM",sell
37,AGYS,SRINIVASAN RAMESH,President & CEO,"Jun 14, 2021",$56.01,9418,527502,681636,"Jun 16, 2021, 08:16 PM",sell
38,AGYS,SRINIVASAN RAMESH,President & CEO,"Jun 16, 2021",$54.01,21707,1172395,621199,"Jun 16, 2021, 08:16 PM",sell
39,DM,HSIEH Wen Hsuan,Director,"Jun 15, 2021",$12.12,100000,1211570,17631665,"Jun 16, 2021, 08:01 PM",sell
40,DM,HSIEH Wen Hsuan,Director,"Jun 14, 2021",$12.60,125000,1575238,17731665,"Jun 16, 2021, 08:01 PM",sell
41,STTK,Hornblower Josiah,Director,"Jun 16, 2021",$27.80,8691,241593,3107411,"Jun 16, 2021, 07:31 PM",sell
42,STTK,Hornblower Josiah,Director,"Jun 15, 2021",$27.47,7293,200342,3116102,"Jun 16, 2021, 07:31 PM",sell
43,STTK,Hornblower Josiah,Director,"Jun 14, 2021",$29.05,5356,155609,3123395,"Jun 16, 2021, 07:31 PM",sell
44,MU,Zinsner David,SVP & Chief Financial Officer,"Jun 15, 2021",$82.19,8050,661612,125025,"Jun 16, 2021, 07:31 PM",sell
45,SWAV,WATKINS FRANK T,Director,"Jun 15, 2021",$188.34,2000,376680,78611,"Jun 16, 2021, 07:28 PM",sell
46,STTK,Neill Andrew R,Chief Financial Officer,"Jun 15, 2021",$27.53,2000,55051,55963,"Jun 16, 2021, 07:27 PM",sell
47,ITI,Bergera J. Joseph,President and CEO,"Jun 16, 2021",$7.00,32855,230005,92716,"Jun 16, 2021, 07:20 PM",sell
48,TLYS,SHAKED HEZY,See Remarks,"Jun 15, 2021",$16.26,2000,32525,0,"Jun 16, 2021, 07:20 PM",sell
49,WSM,ALBER LAURA,PRESIDENT & CEO,"Jun 14, 2021",$166.78,5000,833897,543962,"Jun 16, 2021, 07:13 PM",sell
50,CRVL,CLEMONS V GORDON,Chairman of the Board,"Jun 14, 2021",$122.80,1000,122800,602207,"Jun 16, 2021, 07:11 PM",sell
51,CRVL,CLEMONS V GORDON,Chairman of the Board,"Jun 15, 2021",$121.05,1000,121049,601207,"Jun 16, 2021, 07:11 PM",sell
52,CME,CRONIN KATHLEEN M,Sr MD Gen Counsel & Corp Secr,"Jun 14, 2021",$215.31,4092,881049,42481,"Jun 16, 2021, 07:07 PM",sell
53,AMK,Mehta Mukesh,"EVP, Chief Information Officer","Jun 16, 2021",$27.00,100,2700,306794,"Jun 16, 2021, 07:05 PM",sell
54,SEM,CRESSEY BRYAN C,Director,"Jun 15, 2021",$42.38,10000,423800,70000,"Jun 16, 2021, 07:03 PM",sell
55,KRTX,Ignelzi Troy A.,Chief Financial Officer,"Jun 16, 2021",$129.31,2600,336200,13000,"Jun 16, 2021, 07:01 PM",sell
56,KRTX,Ignelzi Troy A.,Chief Financial Officer,"Jun 14, 2021",$132.52,900,119268,13000,"Jun 16, 2021, 07:01 PM",sell
57,MTN,Vaughn Peter A,Director,"Jun 15, 2021",$321.93,1000,321930,7025,"Jun 16, 2021, 07:00 PM",sell
58,ADPT,GRIFFIN MICHELLE RENEE,Director,"Jun 14, 2021",$38.56,2500,96400,1504,"Jun 16, 2021, 07:00 PM",sell
59,SNAP,Coles Joanna,Director,"Jun 14, 2021",$64.57,1986,128236,43527,"Jun 16, 2021, 07:00 PM",sell
60,ZM,Pelosi Janine,Chief Marketing Officer,"Jun 14, 2021",$361.90,4000,1447600,17572,"Jun 16, 2021, 06:54 PM",sell
61,ZM,Bawa Aparna,Chief Operating Officer,"Jun 14, 2021",$365.10,2593,946707,156376,"Jun 16, 2021, 06:54 PM",sell
62,RAPT,HO WILLIAM,Chief Medical Officer,"Jun 14, 2021",$40.00,2000,80000,60529,"Jun 16, 2021, 06:53 PM",sell
63,CRC,GOLDENTREE ASSET MANAGEMENT LP,10% Owner,"Jun 14, 2021",$33.34,240809,8027654,15525587,"Jun 16, 2021, 06:53 PM",sell
64,LOV,Canaan VIII LP,10% Owner,"Jun 16, 2021",$5.40,8813,47572,2715250,"Jun 16, 2021, 06:50 PM",sell
65,LOV,Canaan VIII LP,10% Owner,"Jun 15, 2021",$5.37,12000,64476,2724063,"Jun 16, 2021, 06:50 PM",sell
66,CIEN,Rothenstein David M,"Sr. VP, General Counsel","Jun 15, 2021",$58.13,3000,174390,264168,"Jun 16, 2021, 06:44 PM",sell
67,AEO,McLean Andrew J.,EVP & Chief Commercial Officer,"Jun 14, 2021",$35.00,18549,649215,28610,"Jun 16, 2021, 06:40 PM",sell
68,NTRA,Chapman Steven Leonard,CEO AND PRESIDENT,"Jun 14, 2021",$103.61,26092,2703397,87652,"Jun 16, 2021, 06:31 PM",sell
69,SQSP,Casalena Anthony,Chief Executive Officer,"Jun 14, 2021",$60.00,94325,5659500,467317,"Jun 16, 2021, 06:30 PM",sell
70,MIME,Bauer Peter,Chief Executive Officer,"Jun 15, 2021",$52.25,17500,914336,1351876,"Jun 16, 2021, 06:30 PM",sell
71,FOX,DINH VIET D,Chief Legal and Policy Officer,"Jun 15, 2021",$37.51,35704,1339257,10288,"Jun 16, 2021, 06:24 PM",sell
72,AIRC,Beldin Paul,Executive Vice President - CFO,"Jun 15, 2021",$50.03,4310,215608,64826,"Jun 16, 2021, 06:24 PM",sell
73,AIRC,Beldin Paul,Executive Vice President - CFO,"Jun 14, 2021",$50.01,6902,345152,69136,"Jun 16, 2021, 06:24 PM",sell
74,WMT,WALTON S ROBSON,Director,"Jun 14, 2021",$140.40,1013942,142352995,338961806,"Jun 16, 2021, 06:23 PM",sell
75,WMT,WALTON S ROBSON,Director,"Jun 16, 2021",$137.84,1230301,169587936,337307075,"Jun 16, 2021, 06:23 PM",sell
76,WMT,WALTON S ROBSON,Director,"Jun 15, 2021",$140.00,851363,119188058,338120443,"Jun 16, 2021, 06:23 PM",sell
77,DLB,YEAMAN KEVIN J,President and CEO,"Jun 15, 2021",$99.58,29457,2933352,36789,"Jun 16, 2021, 06:22 PM",sell
78,IIPR,Gold Alan D,Executive Chairman,"Jun 16, 2021",$33.81,1108,37462,36577,"Jun 16, 2021, 06:21 PM",sell
79,IIPR,Gold Alan D,Executive Chairman,"Jun 15, 2021",$34.01,1161,39487,37685,"Jun 16, 2021, 06:21 PM",sell
80,SENS,JAIN Mukul,Chief Operating Officer,"Jun 14, 2021",$4.36,50000,218000,1970557,"Jun 16, 2021, 06:21 PM",sell
81,WMT,WALTON ALICE L,10% Owner,"Jun 16, 2021",$137.84,1230301,169587936,337307075,"Jun 16, 2021, 06:20 PM",sell
82,WMT,WALTON ALICE L,10% Owner,"Jun 15, 2021",$140.00,851363,119188058,338120443,"Jun 16, 2021, 06:20 PM",sell
83,WMT,WALTON ALICE L,10% Owner,"Jun 14, 2021",$140.40,1013942,142352995,338961806,"Jun 16, 2021, 06:20 PM",sell
84,LII,Young Douglas L,"EVP, President & COO RHC","Jun 15, 2021",$334.97,8704,2915589,62824,"Jun 16, 2021, 06:19 PM",sell
85,NVDA,BURGESS ROBERT K,Director,"Jun 15, 2021",$713.22,4000,2852879,9541,"Jun 16, 2021, 06:18 PM",sell
86,WMT,WALTON JIM C,10% Owner,"Jun 15, 2021",$140.00,851363,119188058,338120443,"Jun 16, 2021, 06:17 PM",sell
87,WMT,WALTON JIM C,10% Owner,"Jun 14, 2021",$140.40,1013942,142352995,338961806,"Jun 16, 2021, 06:17 PM",sell
88,WMT,WALTON JIM C,10% Owner,"Jun 16, 2021",$137.84,1230301,169587936,337307075,"Jun 16, 2021, 06:17 PM",sell
89,CIEN,PETRIK ANDREW C,"VP, CONTROLLER","Jun 15, 2021",$58.13,1000,58130,34522,"Jun 16, 2021, 06:14 PM",sell
90,MIME,Anderson Karen M.,Chief Human Resources Officer,"Jun 15, 2021",$52.20,21067,1099691,0,"Jun 16, 2021, 06:05 PM",sell
91,MIME,Anderson Karen M.,Chief Human Resources Officer,"Jun 14, 2021",$52.02,13530,703889,4365,"Jun 16, 2021, 06:05 PM",sell
92,RFP,Ouellet Daniel,SVP Human Resources,"Jun 16, 2021",$13.51,5000,67550,100865,"Jun 16, 2021, 06:05 PM",sell
93,AYRO,Keller Rodney C. Jr.,Chief Executive Officer,"Jun 15, 2021",$5.21,70000,364560,511250,"Jun 16, 2021, 05:55 PM",sell
94,AYRO,Keller Rodney C. Jr.,Chief Executive Officer,"Jun 14, 2021",$5.47,70000,382627,581250,"Jun 16, 2021, 05:55 PM",sell
95,CHWY,Helfrick Susan,General Counsel,"Jun 14, 2021",$75.04,18646,1399233,70974,"Jun 16, 2021, 05:55 PM",sell
96,CHWY,Helfrick Susan,General Counsel,"Jun 15, 2021",$74.99,18658,1399201,52316,"Jun 16, 2021, 05:55 PM",sell
97,NWPX,LARSON KEITH R,Director,"Jun 14, 2021",$30.08,1000,30084,21414,"Jun 16, 2021, 05:54 PM",sell
98,APPS,COLLINS CHRISTINE,Chief Technology Officer,"Jun 15, 2021",$70.02,40000,2800800,0,"Jun 16, 2021, 05:52 PM",sell
99,NVTA,Guyer Shelly D,Chief Financial Officer,"Jun 14, 2021",$31.63,9910,313405,241975,"Jun 16, 2021, 05:52 PM",sell
100,NVTA,Stueland Katherine,Chief Commercial Officer,"Jun 14, 2021",$31.60,20340,642679,223065,"Jun 16, 2021, 05:51 PM",sell
