,0
IBKR,investment-banks-brokers
ICE,investment-banks-brokers
JEF,investment-banks-brokers
LAZ,investment-banks-brokers
LPLA,investment-banks-brokers
MC,investment-banks-brokers
MKTX,investment-banks-brokers
MS,investment-banks-brokers
NDAQ,investment-banks-brokers
NMR,investment-banks-brokers
NOAH,investment-banks-brokers
PJT,investment-banks-brokers
RJF,investment-banks-brokers
SCHW,investment-banks-brokers
SF,investment-banks-brokers
VIRT,investment-banks-brokers
AB,investment-managers
AMG,investment-managers
APAM,investment-managers
APO,investment-managers
ARCC,investment-managers
ARES,investment-managers
BAM,investment-managers
BEN,investment-managers
BKCC,investment-managers
BLK,investment-managers
BSIG,investment-managers
BX,investment-managers
CG,investment-managers
CNS,investment-managers
FHI,investment-managers
FOCS,investment-managers
FTAI,investment-managers
GSBD,investment-managers
HLNE,investment-managers
HQY,investment-managers
HTGC,investment-managers
IVZ,investment-managers
JHG,investment-managers
KKR,investment-managers
MAIN,investment-managers
MIC,investment-managers
MORN,investment-managers
PFG,investment-managers
PSEC,investment-managers
SEIC,investment-managers
TROW,investment-managers
ACWI,investment-trusts-mutual-funds
ACWX,investment-trusts-mutual-funds
AFB,investment-trusts-mutual-funds
AFK,investment-trusts-mutual-funds
AGQ,investment-trusts-mutual-funds
AIA,investment-trusts-mutual-funds
AMJ,investment-trusts-mutual-funds
ANEW,investment-trusts-mutual-funds
ANGL,investment-trusts-mutual-funds
ATMP,investment-trusts-mutual-funds
AWF,investment-trusts-mutual-funds
BAL,investment-trusts-mutual-funds
BBH,investment-trusts-mutual-funds
BBN,investment-trusts-mutual-funds
BCM,investment-trusts-mutual-funds
BCX,investment-trusts-mutual-funds
BDJ,investment-trusts-mutual-funds
AEL,life-health-insurance
AFL,life-health-insurance
BHF,life-health-insurance
BHFA,life-health-insurance
CIA,life-health-insurance
EHTH,life-health-insurance
EIG,life-health-insurance
GNW,life-health-insurance
LFC,life-health-insurance
LNC,life-health-insurance
MET,life-health-insurance
MFC,life-health-insurance
PRI,life-health-insurance
RGA,life-health-insurance
UNM,life-health-insurance
UNMA,life-health-insurance
VOYA,life-health-insurance
AVAL,major-banks
BAC,major-banks
BBD,major-banks
BBDO,major-banks
BBVA,major-banks
BCS,major-banks
BK,major-banks
BMO,major-banks
BNS,major-banks
CADE,major-banks
CIT,major-banks
CM,major-banks
CMA,major-banks
COF,major-banks
CS,major-banks
DB,major-banks
ESQ,major-banks
HOPE,major-banks
HSBC,major-banks
ITUB,major-banks
JPM,major-banks
KEY,major-banks
LYG,major-banks
MFG,major-banks
MUFG,major-banks
PBCT,major-banks
PNC,major-banks
PRK,major-banks
RF,major-banks
RY,major-banks
SAN,major-banks
SFNC,major-banks
SMFG,major-banks
SUPV,major-banks
TD,major-banks
UBS,major-banks
USB,major-banks
WBK,major-banks
WF,major-banks
WFC,major-banks
BCE,major-telecommunications
CHT,major-telecommunications
KT,major-telecommunications
OIBR,major-telecommunications
ORAN,major-telecommunications
SHEN,major-telecommunications
T  A,major-telecommunications
TEO,major-telecommunications
TLK,major-telecommunications
TU,major-telecommunications
VZ,major-telecommunications
ANTM,managed-health-care
CI,managed-health-care
CNC,managed-health-care
HUM,managed-health-care
MGLN,managed-health-care
MOH,managed-health-care
UNH,managed-health-care
CTRM,marine-shipping
DHT,marine-shipping
EURN,marine-shipping
FRO,marine-shipping
GLBS,marine-shipping
GLNG,marine-shipping
GLOG,marine-shipping
KEX,marine-shipping
NAT,marine-shipping
SFL,marine-shipping
STNG,marine-shipping
TGP,marine-shipping
TK,marine-shipping
TNK,marine-shipping
TOPS,marine-shipping
ABC,medical-distributors
CAH,medical-distributors
HLF,medical-distributors
HSIC,medical-distributors
MCK,medical-distributors
MYO,medical-distributors
OMI,medical-distributors
PDCO,medical-distributors
ABMD,medical-specialties
ABT,medical-specialties
ALGN,medical-specialties
APT,medical-specialties
ATRC,medical-specialties
ATRI,medical-specialties
AVGR,medical-specialties
AVNS,medical-specialties
BAX,medical-specialties
BDX,medical-specialties
BIO,medical-specialties
BIO.,medical-specialties
BIOL,medical-specialties
BRKR,medical-specialties
BSX,medical-specialties
CEMI,medical-specialties
CHEK,medical-specialties
CLDX,medical-specialties
CMD,medical-specialties
CNMD,medical-specialties
COO,medical-specialties
DHR,medical-specialties
DXCM,medical-specialties
EW,medical-specialties
FLDM,medical-specialties
GKOS,medical-specialties
GMED,medical-specialties
HAE,medical-specialties
HJLI,medical-specialties
HOLX,medical-specialties
HRC,medical-specialties
IART,medical-specialties
ICUI,medical-specialties
IDXX,medical-specialties
INGN,medical-specialties
INO,medical-specialties
INSP,medical-specialties
IRTC,medical-specialties
ISRG,medical-specialties
LIVN,medical-specialties
MASI,medical-specialties
MDGS,medical-specialties
MDT,medical-specialties
MMSI,medical-specialties
MTD,medical-specialties
NEOG,medical-specialties
NNOX,medical-specialties
NUVA,medical-specialties
NVCR,medical-specialties
NVRO,medical-specialties
OFIX,medical-specialties
OSUR,medical-specialties
PEN,medical-specialties
PHG,medical-specialties
PKI,medical-specialties
PODD,medical-specialties
ACHC,medical-nursing-services
AMED,medical-nursing-services
BIOC,medical-nursing-services
CHE,medical-nursing-services
DVA,medical-nursing-services
ENSG,medical-nursing-services
FLGT,medical-nursing-services
FMS,medical-nursing-services
GH,medical-nursing-services
LHCG,medical-nursing-services
MD,medical-nursing-services
NEO,medical-nursing-services
NTRA,medical-nursing-services
NVTA,medical-nursing-services
SDC,medical-nursing-services
USPH,medical-nursing-services
HSC,metal-fabrication
MATW,metal-fabrication
MLI,metal-fabrication
ROCK,metal-fabrication
ROLL,metal-fabrication
SIM,metal-fabrication
TKR,metal-fabrication
VMI,metal-fabrication
PRPL,miscellaneous
SHIP,miscellaneous
ZOM,miscellaneous
ABM,miscellaneous-commercial-services
ADT,miscellaneous-commercial-services
ATOM,miscellaneous-commercial-services
BAH,miscellaneous-commercial-services
BAND,miscellaneous-commercial-services
BBU,miscellaneous-commercial-services
BCO,miscellaneous-commercial-services
BEDU,miscellaneous-commercial-services
BFAM,miscellaneous-commercial-services
BOXL,miscellaneous-commercial-services
BR,miscellaneous-commercial-services
BV,miscellaneous-commercial-services
CAE,miscellaneous-commercial-services
CATM,miscellaneous-commercial-services
CDAY,miscellaneous-commercial-services
CDK,miscellaneous-commercial-services
CHGG,miscellaneous-commercial-services
CIDM,miscellaneous-commercial-services
CNDT,miscellaneous-commercial-services
CPRT,miscellaneous-commercial-services
CRL,miscellaneous-commercial-services
CSTM,miscellaneous-commercial-services
EFX,miscellaneous-commercial-services
ETSY,miscellaneous-commercial-services
EVOP,miscellaneous-commercial-services
FCN,miscellaneous-commercial-services
FLT,miscellaneous-commercial-services
HCSG,miscellaneous-commercial-services
ICFI,miscellaneous-commercial-services
IT,miscellaneous-commercial-services
KAR,miscellaneous-commercial-services
LAUR,miscellaneous-commercial-services
LOPE,miscellaneous-commercial-services
MEDP,miscellaneous-commercial-services
MEDS,miscellaneous-commercial-services
MGI,miscellaneous-commercial-services
MMS,miscellaneous-commercial-services
NXTD,miscellaneous-commercial-services
ONE,miscellaneous-commercial-services
OPGN,miscellaneous-commercial-services
PAGS,miscellaneous-commercial-services
PRAA,miscellaneous-commercial-services
PRAH,miscellaneous-commercial-services
RBA,miscellaneous-commercial-services
RELX,miscellaneous-commercial-services
REZI,miscellaneous-commercial-services
SCOR,miscellaneous-commercial-services
STMP,miscellaneous-commercial-services
SYNH,miscellaneous-commercial-services
TAL,miscellaneous-commercial-services
TNET,miscellaneous-commercial-services
TTEC,miscellaneous-commercial-services
BRC,miscellaneous-manufacturing
CR,miscellaneous-manufacturing
CSL,miscellaneous-manufacturing
LCII,miscellaneous-manufacturing
PNR,miscellaneous-manufacturing
RAVN,miscellaneous-manufacturing
TRS,miscellaneous-manufacturing
TUP,miscellaneous-manufacturing
WMS,miscellaneous-manufacturing
YETI,miscellaneous-manufacturing
FUV,motor-vehicles
GM,motor-vehicles
GP,motor-vehicles
HMC,motor-vehicles
HOG,motor-vehicles
KNDI,motor-vehicles
NIO,motor-vehicles
NIU,motor-vehicles
NKLA,motor-vehicles
RACE,motor-vehicles
SOLO,motor-vehicles
TM,motor-vehicles
TSLA,motor-vehicles
TTM,motor-vehicles
XPEV,motor-vehicles
AMC,movies-entertainment
BATR,movies-entertainment
CNK,movies-entertainment
DLB,movies-entertainment
ESGC,movies-entertainment
FUBO,movies-entertainment
FUN,movies-entertainment
FWON,movies-entertainment
GNUS,movies-entertainment
IMAX,movies-entertainment
LGF.,movies-entertainment
LSXM,movies-entertainment
LYV,movies-entertainment
MANU,movies-entertainment
MSGN,movies-entertainment
MSGS,movies-entertainment
PLAY,movies-entertainment
SEAS,movies-entertainment
SIX,movies-entertainment
WWE,movies-entertainment
ACGL,multi-line-insurance
AEB,multi-line-insurance
AEG,multi-line-insurance
AIG,multi-line-insurance
AIZ,multi-line-insurance
ANAT,multi-line-insurance
ARGD,multi-line-insurance
ARGO,multi-line-insurance
AXS,multi-line-insurance
BRK.,multi-line-insurance
CNA,multi-line-insurance
CNO,multi-line-insurance
FANH,multi-line-insurance
HIG,multi-line-insurance
HMN,multi-line-insurance
KMPR,multi-line-insurance
KNSL,multi-line-insurance
PUK,multi-line-insurance
SLF,multi-line-insurance
TRV,multi-line-insurance
WTM,multi-line-insurance
HNI,office-equipment-supplies
JCI,office-equipment-supplies
MLHR,office-equipment-supplies
PBI,office-equipment-supplies
SCS,office-equipment-supplies
ALTM,oil-gas-pipelines
AM,oil-gas-pipelines
BPMP,oil-gas-pipelines
CEQP,oil-gas-pipelines
CQP,oil-gas-pipelines
DCP,oil-gas-pipelines
ENB,oil-gas-pipelines
ENBA,oil-gas-pipelines
ENBL,oil-gas-pipelines
ENLC,oil-gas-pipelines
EPD,oil-gas-pipelines
ET,oil-gas-pipelines
ETRN,oil-gas-pipelines
GEL,oil-gas-pipelines
HEP,oil-gas-pipelines
KMI,oil-gas-pipelines
LNG,oil-gas-pipelines
MMP,oil-gas-pipelines
MPLX,oil-gas-pipelines
NGL,oil-gas-pipelines
OKE,oil-gas-pipelines
PAA,oil-gas-pipelines
PAGP,oil-gas-pipelines
PBA,oil-gas-pipelines
PSXP,oil-gas-pipelines
SHLX,oil-gas-pipelines
TRP,oil-gas-pipelines
WMB,oil-gas-pipelines
AR,oil-gas-production
BSM,oil-gas-production
CDEV,oil-gas-production
CLR,oil-gas-production
CNQ,oil-gas-production
COP,oil-gas-production
CPE,oil-gas-production
CPG,oil-gas-production
CVE,oil-gas-production
DVN,oil-gas-production
ENSV,oil-gas-production
EOG,oil-gas-production
EQT,oil-gas-production
ERF,oil-gas-production
FANG,oil-gas-production
HES,oil-gas-production
KOS,oil-gas-production
MGY,oil-gas-production
MRO,oil-gas-production
MTDR,oil-gas-production
MUR,oil-gas-production
NEXT,oil-gas-production
OAS,oil-gas-production
OXY,oil-gas-production
PDCE,oil-gas-production
PXD,oil-gas-production
RRC,oil-gas-production
SM,oil-gas-production
SWN,oil-gas-production
VET,oil-gas-production
WLL,oil-gas-production
WTI,oil-gas-production
XEC,oil-gas-production
CVI,oil-refining-marketing
DK,oil-refining-marketing
HFC,oil-refining-marketing
MPC,oil-refining-marketing
PBF,oil-refining-marketing
PSX,oil-refining-marketing
TGS,oil-refining-marketing
TRGP,oil-refining-marketing
UGP,oil-refining-marketing
VLO,oil-refining-marketing
WES,oil-refining-marketing
AROC,oilfield-services-equipment
BKR,oilfield-services-equipment
CLB,oilfield-services-equipment
DRQ,oilfield-services-equipment
FI,oilfield-services-equipment
FTI,oilfield-services-equipment
HAL,oilfield-services-equipment
LBRT,oilfield-services-equipment
NOV,oilfield-services-equipment
OII,oilfield-services-equipment
PED,oilfield-services-equipment
PUMP,oilfield-services-equipment
RES,oilfield-services-equipment
SLB,oilfield-services-equipment
TTI,oilfield-services-equipment
USAC,oilfield-services-equipment
WHD,oilfield-services-equipment
ABNB,other-consumer-services
ATGE,other-consumer-services
BKNG,other-consumer-services
BLNK,other-consumer-services
CTAS,other-consumer-services
DESP,other-consumer-services
EBAY,other-consumer-services
EDU,other-consumer-services
EXPE,other-consumer-services
GHC,other-consumer-services
HMHC,other-consumer-services
HRB,other-consumer-services
LRN,other-consumer-services
MED,other-consumer-services
MMYT,other-consumer-services
PLNT,other-consumer-services
PTON,other-consumer-services
ROL,other-consumer-services
SCI,other-consumer-services
STRA,other-consumer-services
TRIP,other-consumer-services
UNF,other-consumer-services
VAC,other-consumer-services
WW,other-consumer-services
XSPA,other-consumer-services
FOSL,other-consumer-specialties
MSA,other-consumer-specialties
AXU,other-metals-minerals
BBL,other-metals-minerals
BHP,other-metals-minerals
CCJ,other-metals-minerals
DNN,other-metals-minerals
FCX,other-metals-minerals
HBM,other-metals-minerals
LODE,other-metals-minerals
NAK,other-metals-minerals
NEXA,other-metals-minerals
NXE,other-metals-minerals
PLM,other-metals-minerals
RETO,other-metals-minerals
RIO,other-metals-minerals
SCCO,other-metals-minerals
TECK,other-metals-minerals
TRQ,other-metals-minerals
UEC,other-metals-minerals
USAS,other-metals-minerals
UUUU,other-metals-minerals
ASR,other-transportation
MATX,other-transportation
OMAB,other-transportation
PAC,other-transportation
VRRM,other-transportation
ACIW,packaged-software
ADBE,packaged-software
ADSK,packaged-software
ALTR,packaged-software
ANSS,packaged-software
APPN,packaged-software
AVLR,packaged-software
AYX,packaged-software
AZPN,packaged-software
BB,packaged-software
BKI,packaged-software
BL,packaged-software
BLI,packaged-software
BLKB,packaged-software
BMBL,packaged-software
BNFT,packaged-software
CANG,packaged-software
CDNS,packaged-software
CLDR,packaged-software
COIN,packaged-software
COUP,packaged-software
CRM,packaged-software
CSOD,packaged-software
CTXS,packaged-software
CVET,packaged-software
CVLT,packaged-software
CYBR,packaged-software
DOCU,packaged-software
DOMO,packaged-software
EB,packaged-software
ECOM,packaged-software
EGHT,packaged-software
ENV,packaged-software
EPAY,packaged-software
ESTC,packaged-software
EVBG,packaged-software
FICO,packaged-software
GSKY,packaged-software
HUYA,packaged-software
INTU,packaged-software
IZEA,packaged-software
JAMF,packaged-software
LIZI,packaged-software
LKCO,packaged-software
LYFT,packaged-software
MANH,packaged-software
MANT,packaged-software
MDB,packaged-software
MFGP,packaged-software
MIME,packaged-software
MSFT,packaged-software
MTLS,packaged-software
NATI,packaged-software
NLOK,packaged-software
NTNX,packaged-software
NUAN,packaged-software
OKTA,packaged-software
ORCL,packaged-software
OTEX,packaged-software
PAYC,packaged-software
PCTY,packaged-software
PHUN,packaged-software
AMN,personnel-services
ASGN,personnel-services
KFY,personnel-services
MAN,personnel-services
NSP,personnel-services
PIXY,personnel-services
RHI,personnel-services
COCP,pharmaceuticals-generic
JAGX,pharmaceuticals-generic
RDY,pharmaceuticals-generic
TARO,pharmaceuticals-generic
TEVA,pharmaceuticals-generic
TXMD,pharmaceuticals-generic
ZTS,pharmaceuticals-generic
ABBV,pharmaceuticals-major
ADMP,pharmaceuticals-major
ALLK,pharmaceuticals-major
AMRX,pharmaceuticals-major
AQST,pharmaceuticals-major
ARCT,pharmaceuticals-major
ASND,pharmaceuticals-major
ATNX,pharmaceuticals-major
AYTU,pharmaceuticals-major
AZN,pharmaceuticals-major
BBI,pharmaceuticals-major
BHVN,pharmaceuticals-major
BMY,pharmaceuticals-major
CKPT,pharmaceuticals-major
EBS,pharmaceuticals-major
ELDN,pharmaceuticals-major
ETON,pharmaceuticals-major
GNPX,pharmaceuticals-major
GOSS,pharmaceuticals-major
GRFS,pharmaceuticals-major
GSK,pharmaceuticals-major
HCM,pharmaceuticals-major
JNJ,pharmaceuticals-major
LLY,pharmaceuticals-major
MBIO,pharmaceuticals-major
MRK,pharmaceuticals-major
NKTR,pharmaceuticals-major
NOVN,pharmaceuticals-major
NVO,pharmaceuticals-major
NVS,pharmaceuticals-major
ACRX,pharmaceuticals-other
ACST,pharmaceuticals-other
AERI,pharmaceuticals-other
AGRX,pharmaceuticals-other
ALBO,pharmaceuticals-other
AMPE,pharmaceuticals-other
AMRN,pharmaceuticals-other
ARGX,pharmaceuticals-other
AXSM,pharmaceuticals-other
BHC,pharmaceuticals-other
CORT,pharmaceuticals-other
CPRX,pharmaceuticals-other
CTLT,pharmaceuticals-other
ENDP,pharmaceuticals-other
EYEG,pharmaceuticals-other
HZNP,pharmaceuticals-other
ICLR,pharmaceuticals-other
ICPT,pharmaceuticals-other
INVA,pharmaceuticals-other
IRWD,pharmaceuticals-other
JAZZ,pharmaceuticals-other
LPCN,pharmaceuticals-other
MDGL,pharmaceuticals-other
MRNS,pharmaceuticals-other
NTEC,pharmaceuticals-other
PBH,pharmaceuticals-other
PCRX,pharmaceuticals-other
PRGO,pharmaceuticals-other
RVNC,pharmaceuticals-other
SAGE,pharmaceuticals-other
SUPN,pharmaceuticals-other
TBPH,pharmaceuticals-other
TNXP,pharmaceuticals-other
UTHR,pharmaceuticals-other
ZGNX,pharmaceuticals-other
ZYNE,pharmaceuticals-other
AEM,precious-metals
AG,precious-metals
AGI,precious-metals
ASM,precious-metals
AU,precious-metals
AUY,precious-metals
BTG,precious-metals
BVN,precious-metals
EGO,precious-metals
EXK,precious-metals
FNV,precious-metals
FSM,precious-metals
GFI,precious-metals
GLDG,precious-metals
GOLD,precious-metals
GPL,precious-metals
HL,precious-metals
HMY,precious-metals
IAG,precious-metals
KGC,precious-metals
KL,precious-metals
MAG,precious-metals
MUX,precious-metals
NEM,precious-metals
NG,precious-metals
NGD,precious-metals
OR,precious-metals
PAAS,precious-metals
PVG,precious-metals
RGLD,precious-metals
SAND,precious-metals
SILV,precious-metals
SSRM,precious-metals
SVM,precious-metals
TGB,precious-metals
WPM,precious-metals
AFG,property-casualty-insurance
ALL,property-casualty-insurance
CB,property-casualty-insurance
CINF,property-casualty-insurance
ERIE,property-casualty-insurance
MCY,property-casualty-insurance
NMIH,property-casualty-insurance
ORI,property-casualty-insurance
PGR,property-casualty-insurance
PLMR,property-casualty-insurance
RE,property-casualty-insurance
RLI,property-casualty-insurance
RNR,property-casualty-insurance
SAFT,property-casualty-insurance
SIGI,property-casualty-insurance
STFC,property-casualty-insurance
THG,property-casualty-insurance
UVE,property-casualty-insurance
WRB,property-casualty-insurance
Y  A,property-casualty-insurance
JW.A,publishing-books-magazines
JW.B,publishing-books-magazines
MDP,publishing-books-magazines
PSO,publishing-books-magazines
SCHL,publishing-books-magazines
NWS,publishing-newspapers
NYT,publishing-newspapers
SUZ,pulp-paper
UFS,pulp-paper
CNI,railroads
CP,railroads
CSX,railroads
KSU,railroads
NSC,railroads
UNP,railroads
BPY,real-estate-development
CBRE,real-estate-development
CIGI,real-estate-development
CRES,real-estate-development
CWK,real-estate-development
FSV,real-estate-development
HGV,real-estate-development
HHC,real-estate-development
IRS,real-estate-development
JLL,real-estate-development
KW,real-estate-development
MMI,real-estate-development
NMRK,real-estate-development
RDFN,real-estate-development
RLGY,real-estate-development
RMR,real-estate-development
AGNC,real-estate-investment-trusts
AMT,real-estate-investment-trusts
BPYU,real-estate-investment-trusts
GRP.,real-estate-investment-trusts
ATVI,recreational-products
BC,recreational-products
DOOO,recreational-products
EA,recreational-products
ELY,recreational-products
FNKO,recreational-products
FOXF,recreational-products
GOLF,recreational-products
HAS,recreational-products
MAT,recreational-products
NLS,recreational-products
PII,recreational-products
RGR,recreational-products
THO,recreational-products
TTWO,recreational-products
VSTO,recreational-products
WGO,recreational-products
ABCB,regional-banks
ALLY,regional-banks
ASB,regional-banks
BANF,regional-banks
BANR,regional-banks
BAP,regional-banks
BCH,regional-banks
BHLB,regional-banks
BKU,regional-banks
BMA,regional-banks
BOH,regional-banks
BOKF,regional-banks
BPOP,regional-banks
BSAC,regional-banks
BSBR,regional-banks
BSMX,regional-banks
BUSE,regional-banks
BXS,regional-banks
CATY,regional-banks
CBSH,regional-banks
CBU,regional-banks
CFG,regional-banks
CFR,regional-banks
CIB,regional-banks
COLB,regional-banks
CVBF,regional-banks
EGBN,regional-banks
EWBC,regional-banks
FBP,regional-banks
FCF,regional-banks
FCNC,regional-banks
FFBC,regional-banks
FFIN,regional-banks
FHB,regional-banks
FHN,regional-banks
FIBK,regional-banks
FITB,regional-banks
FMBI,regional-banks
FNB,regional-banks
FRC,regional-banks
FRME,regional-banks
FULT,regional-banks
GBCI,regional-banks
GGAL,regional-banks
GWB,regional-banks
HBAN,regional-banks
HDB,regional-banks
HOMB,regional-banks
HTH,regional-banks
ARCO,restaurants
ARMK,restaurants
BLMN,restaurants
CAKE,restaurants
CBRL,restaurants
CMG,restaurants
DENN,restaurants
DIN,restaurants
DPZ,restaurants
DRI,restaurants
EAT,restaurants
JACK,restaurants
LUB,restaurants
MCD,restaurants
PZZA,restaurants
QSR,restaurants
RRGB,restaurants
RUTH,restaurants
SBUX,restaurants
SHAK,restaurants
TXRH,restaurants
WEN,restaurants
WING,restaurants
YUM,restaurants
YUMC,restaurants
AX,savings-banks
BRKL,savings-banks
CFFN,savings-banks
CLBK,savings-banks
ISBC,savings-banks
KRNY,savings-banks
NWBI,savings-banks
PFS,savings-banks
SBT,savings-banks
TFSL,savings-banks
WAFD,savings-banks
WBS,savings-banks
WSFS,savings-banks
ADI,semiconductors
AMBA,semiconductors
AMD,semiconductors
AMKR,semiconductors
ASX,semiconductors
AVGO,semiconductors
CAN,semiconductors
CCMP,semiconductors
COHR,semiconductors
CRUS,semiconductors
DIOD,semiconductors
ENPH,semiconductors
ENTG,semiconductors
FN,semiconductors
INTC,semiconductors
IPGP,semiconductors
KLIC,semiconductors
LSCC,semiconductors
MCHP,semiconductors
MPWR,semiconductors
MRVL,semiconductors
MTSI,semiconductors
MU,semiconductors
MXIM,semiconductors
MXL,semiconductors
NVDA,semiconductors
NXPI,semiconductors
ON,semiconductors
OSIS,semiconductors
POWI,semiconductors
QRVO,semiconductors
SIMO,semiconductors
SLAB,semiconductors
SMTC,semiconductors
SOL,semiconductors
STM,semiconductors
SWKS,semiconductors
SYNA,semiconductors
TSEM,semiconductors
TSM,semiconductors
TXN,semiconductors
UCTT,semiconductors
UMC,semiconductors
XLNX,semiconductors
DGX,services-to-the-health-industry
IQV,services-to-the-health-industry
LH,services-to-the-health-industry
AGO,specialty-insurance
ATH,specialty-insurance
ESNT,specialty-insurance
FAF,specialty-insurance
FNF,specialty-insurance
MKL,specialty-insurance
MTG,specialty-insurance
PRA,specialty-insurance
RDN,specialty-insurance
TRUP,specialty-insurance
AAN,specialty-stores
AAP,specialty-stores
ABG,specialty-stores
AN,specialty-stores
AZO,specialty-stores
BBBY,specialty-stores
BGFV,specialty-stores
BJ,specialty-stores
CASY,specialty-stores
COST,specialty-stores
CVNA,specialty-stores
CWH,specialty-stores
DKS,specialty-stores
EYE,specialty-stores
HIBB,specialty-stores
HOME,specialty-stores
KIRK,specialty-stores
KMX,specialty-stores
LAD,specialty-stores
LL,specialty-stores
LOVE,specialty-stores
MNRO,specialty-stores
MUSA,specialty-stores
ODP,specialty-stores
ORLY,specialty-stores
PAG,specialty-stores
PRTY,specialty-stores
SBH,specialty-stores
SIG,specialty-stores
SPWH,specialty-stores
TCS,specialty-stores
TGT,specialty-stores
TSCO,specialty-stores
ULTA,specialty-stores
WSM,specialty-stores
CCOI,specialty-telecommunications
GTT,specialty-telecommunications
MARK,specialty-telecommunications
PHI,specialty-telecommunications
TEF,specialty-telecommunications
VG,specialty-telecommunications
ATI,steel
CLF,steel
CMC,steel
CRS,steel
GGB,steel
MT,steel
MTL,steel
MTL/,steel
NUE,steel
PKX,steel
RS,steel
SID,steel
STLD,steel
TS,steel
TX,steel
VALE,steel
WOR,steel
X  U,steel
AAPL,telecommunications-equipment
AUDC,telecommunications-equipment
AVYA,telecommunications-equipment
CALX,telecommunications-equipment
CIEN,telecommunications-equipment
COMM,telecommunications-equipment
DGLY,telecommunications-equipment
ERIC,telecommunications-equipment
GRMN,telecommunications-equipment
IDCC,telecommunications-equipment
INSG,telecommunications-equipment
NOK,telecommunications-equipment
POLY,telecommunications-equipment
QCOM,telecommunications-equipment
SATS,telecommunications-equipment
UI,telecommunications-equipment
UTSI,telecommunications-equipment
VSAT,telecommunications-equipment
WATT,telecommunications-equipment
AIN,textiles
BTI,tobacco
MO,tobacco
PM,tobacco
UVV,tobacco
VGR,tobacco
SNA,tools-hardware
SWK,tools-hardware
HTLD,trucking
JBHT,trucking
KNX,trucking
LSTR,trucking
ODFL,trucking
SAIA,trucking
SNDR,trucking
WERN,trucking
XPO,trucking
YELL,trucking
ACA,trucks-construction-farm-machinery
AGCO,trucks-construction-farm-machinery
ALSN,trucks-construction-farm-machinery
BWA,trucks-construction-farm-machinery
CAT,trucks-construction-farm-machinery
CMI,trucks-construction-farm-machinery
CNHI,trucks-construction-farm-machinery
DE,trucks-construction-farm-machinery
FSS,trucks-construction-farm-machinery
GBX,trucks-construction-farm-machinery
NAV,trucks-construction-farm-machinery
OSK,trucks-construction-farm-machinery
PCAR,trucks-construction-farm-machinery
TEX,trucks-construction-farm-machinery
TRN,trucks-construction-farm-machinery
TTC,trucks-construction-farm-machinery
WAB,trucks-construction-farm-machinery
WPRT,trucks-construction-farm-machinery
AWK,water-utilities
AWR,water-utilities
CWT,water-utilities
SBS,water-utilities
SJW,water-utilities
AIT,wholesale-distributors
BECN,wholesale-distributors
CORE,wholesale-distributors
DNOW,wholesale-distributors
FAST,wholesale-distributors
GPC,wholesale-distributors
GRWG,wholesale-distributors
GWW,wholesale-distributors
IBP,wholesale-distributors
INT,wholesale-distributors
MRC,wholesale-distributors
MSM,wholesale-distributors
NS,wholesale-distributors
POOL,wholesale-distributors
RUSH,wholesale-distributors
SITE,wholesale-distributors
SUN,wholesale-distributors
SXT,wholesale-distributors
UNVR,wholesale-distributors
WCC,wholesale-distributors
AMOV,wireless-telecommunications
AMX,wireless-telecommunications
GOGO,wireless-telecommunications
IRDM,wireless-telecommunications
MBT,wireless-telecommunications
RCI,wireless-telecommunications
SKM,wireless-telecommunications
TDS,wireless-telecommunications
TIGO,wireless-telecommunications
TKC,wireless-telecommunications
TMUS,wireless-telecommunications
USM,wireless-telecommunications
VEON,wireless-telecommunications
VOD,wireless-telecommunications
